date,model,score,total_posts,positive_count,negative_count,neutral_count,top_complaint
2026-02-15,chatgpt,80,200,96,52,52,hallucinations
2026-02-15,claude,70,128,46,52,30,refusals
2026-02-15,gemini,73,96,40,34,22,hallucinations
2026-02-15,grok,46,80,10,48,22,coding_quality
2026-02-16,chatgpt,78,210,90,65,55,coding_quality
2026-02-16,claude,75,110,55,35,20,coding_quality
2026-02-16,gemini,77,86,46,24,16,speed
2026-02-16,grok,50,74,14,40,20,refusals
2026-02-17,chatgpt,81,195,98,48,49,hallucinations
2026-02-17,claude,72,122,48,48,26,lazy_responses
2026-02-17,gemini,75,92,42,30,20,coding_quality
2026-02-17,grok,47,78,12,44,22,hallucinations
2026-02-18,chatgpt,84,180,108,35,37,speed
2026-02-18,claude,67,138,40,62,36,lazy_responses
2026-02-18,gemini,79,82,50,20,12,speed
2026-02-18,grok,51,72,15,37,20,refusals
2026-02-19,chatgpt,50,2,0,2,0,hallucinations
2026-02-21,chatgpt,30,3,0,3,0,censorship
2026-02-22,chatgpt,18,1,0,1,0,lazy_responses
2026-02-23,chatgpt,11,1,0,1,0,general_drop
2026-02-24,chatgpt,47,1,1,0,0,
2026-02-24,claude,60,1,0,0,1,
2026-02-26,chatgpt,63,2,1,0,1,
2026-02-27,chatgpt,42,2,0,1,1,hallucinations
2026-02-28,chatgpt,30,4,1,3,0,pricing_value
2026-02-28,claude,36,1,0,1,0,pricing_value
2026-02-28,gemini,47,1,0,1,0,pricing_value
2026-03-01,claude,32,2,1,1,0,pricing_value
2026-03-03,chatgpt,33,3,0,1,2,lazy_responses
2026-03-03,claude,42,3,1,2,0,coding_quality
2026-03-04,chatgpt,20,3,0,3,0,pricing_value
2026-03-04,gemini,28,2,0,2,0,refusals
2026-03-05,chatgpt,12,1,0,1,0,pricing_value
2026-03-05,claude,30,3,0,2,1,general_drop
2026-03-05,gemini,28,0,0,0,0,
2026-03-05,grok,51,0,0,0,0,
2026-03-06,chatgpt,20,3,2,1,0,speed
2026-03-06,claude,40,2,1,1,0,coding_quality
2026-03-06,gemini,28,0,0,0,0,
2026-03-06,grok,51,0,0,0,0,
2026-03-07,chatgpt,30,9,2,3,4,general_drop
2026-03-07,claude,40,5,1,4,0,general_drop
2026-03-07,gemini,28,0,0,0,0,
2026-03-07,grok,51,0,0,0,0,
2026-03-08,chatgpt,35,186,40,70,76,general_drop
2026-03-08,claude,40,137,41,43,53,general_drop
2026-03-08,gemini,48,62,17,15,30,hallucinations
2026-03-08,grok,29,36,4,17,15,general_drop
2026-03-09,chatgpt,30,604,75,304,225,general_drop
2026-03-09,claude,42,510,115,179,216,general_drop
2026-03-09,gemini,41,130,23,48,59,general_drop
2026-03-09,grok,21,115,11,73,31,censorship
2026-03-10,chatgpt,26,3,1,2,0,lazy_responses
2026-03-10,claude,31,4,1,3,0,speed
2026-03-10,gemini,41,0,0,0,0,
2026-03-10,grok,21,0,0,0,0,
2026-03-11,chatgpt,56,2,2,0,0,
2026-03-11,claude,35,3,1,1,1,refusals
2026-03-11,gemini,41,0,0,0,0,
2026-03-11,grok,21,0,0,0,0,
2026-03-12,chatgpt,30,9,1,6,2,lazy_responses
2026-03-12,claude,26,9,1,7,1,lazy_responses
2026-03-12,gemini,65,1,1,0,0,
2026-03-12,grok,21,0,0,0,0,
2026-03-13,chatgpt,30,0,0,0,0,
2026-03-13,claude,26,0,0,0,0,
2026-03-13,gemini,65,0,0,0,0,
2026-03-13,grok,21,0,0,0,0,
2026-03-14,chatgpt,30,0,0,0,0,
2026-03-14,claude,26,3,1,2,0,speed
2026-03-14,gemini,65,0,0,0,0,
2026-03-14,grok,21,0,0,0,0,
2026-03-15,chatgpt,79,6,6,0,0,
2026-03-15,claude,29,2,1,1,0,general_drop
2026-03-15,gemini,65,0,0,0,0,
2026-03-15,grok,21,0,0,0,0,
2026-03-16,chatgpt,72,2,1,1,0,lazy_responses
2026-03-16,claude,17,2,0,2,0,api_reliability
2026-03-16,gemini,65,0,0,0,0,
2026-03-16,grok,13,1,0,1,0,multimodal_quality
2026-03-17,chatgpt,58,2,1,1,0,refusals
2026-03-17,claude,50,1,1,0,0,
2026-03-17,gemini,65,0,0,0,0,
2026-03-17,grok,13,0,0,0,0,
2026-03-18,chatgpt,35,2,0,2,0,censorship
2026-03-18,claude,40,4,1,3,0,lazy_responses
2026-03-18,gemini,65,0,0,0,0,
2026-03-18,grok,13,0,0,0,0,
2026-03-19,chatgpt,28,6,2,4,0,general_drop
2026-03-19,claude,52,4,3,1,0,api_reliability
2026-03-19,gemini,65,0,0,0,0,
2026-03-19,grok,13,4,1,3,0,censorship
2026-03-20,chatgpt,18,18,2,13,3,lazy_responses
2026-03-20,claude,51,25,12,9,4,general_drop
2026-03-20,gemini,29,5,1,4,0,api_reliability
2026-03-20,grok,27,16,3,4,9,general_drop
2026-03-21,chatgpt,21,73,14,41,15,lazy_responses
2026-03-21,claude,59,54,30,19,5,coding_quality
2026-03-21,gemini,49,25,11,8,6,speed
2026-03-21,grok,18,21,2,12,7,hallucinations
2026-03-22,chatgpt,28,86,25,46,12,general_drop
2026-03-22,claude,56,70,36,25,8,hallucinations
2026-03-22,gemini,48,35,15,15,4,lazy_responses
2026-03-22,grok,23,28,8,20,0,hallucinations
2026-03-23,chatgpt,22,112,15,50,3,general_drop
2026-03-23,claude,60,62,27,14,3,coding_quality
2026-03-23,gemini,49,31,8,10,0,general_drop
2026-03-23,grok,39,24,4,7,0,censorship
2026-03-24,chatgpt,19,60,6,34,6,general_drop
2026-03-24,claude,61,71,31,16,5,lazy_responses
2026-03-24,gemini,53,33,12,8,3,hallucinations
2026-03-24,grok,32,14,2,3,2,hallucinations
2026-03-25,chatgpt,37,67,13,27,1,general_drop
2026-03-25,claude,60,52,19,14,2,api_reliability
2026-03-25,gemini,36,23,3,9,2,general_drop
2026-03-25,grok,38,24,4,8,0,general_drop
2026-03-26,chatgpt,19,64,5,23,3,general_drop
2026-03-26,claude,53,51,8,14,0,general_drop
2026-03-26,gemini,36,31,6,8,0,general_drop
2026-03-26,grok,32,5,1,2,0,api_reliability
2026-03-27,chatgpt,8,74,1,34,0,general_drop
2026-03-27,claude,39,58,16,23,1,api_reliability
2026-03-27,gemini,37,29,7,12,0,general_drop
2026-03-27,grok,40,19,3,3,1,general_drop
2026-03-28,chatgpt,20,104,15,49,1,general_drop
2026-03-28,claude,51,83,32,26,1,general_drop
2026-03-28,gemini,38,47,11,16,2,general_drop
2026-03-28,grok,33,35,6,12,1,censorship
2026-03-29,chatgpt,22,98,19,59,12,general_drop
2026-03-29,claude,52,86,43,33,6,general_drop
2026-03-29,gemini,51,31,13,10,1,hallucinations
2026-03-29,grok,37,20,4,8,2,censorship
2026-03-30,chatgpt,23,101,24,69,7,hallucinations
2026-03-30,claude,49,86,35,34,15,general_drop
2026-03-30,gemini,38,43,12,25,5,reasoning
2026-03-30,grok,41,25,9,12,3,general_drop
2026-03-31,chatgpt,16,137,7,62,3,general_drop
2026-03-31,claude,42,123,33,42,2,coding_quality
2026-03-31,gemini,37,64,17,26,2,hallucinations
2026-03-31,grok,47,37,9,15,0,general_drop
2026-04-01,chatgpt,18,95,13,50,0,general_drop
2026-04-01,claude,55,92,35,22,3,coding_quality
2026-04-01,gemini,24,43,6,21,1,hallucinations
2026-04-01,grok,16,34,1,13,0,censorship
2026-04-02,chatgpt,32,77,20,29,0,general_drop
2026-04-02,claude,46,90,26,32,0,lazy_responses
2026-04-02,gemini,35,59,17,18,3,hallucinations
2026-04-02,grok,21,44,5,20,0,general_drop
2026-04-03,chatgpt,26,103,15,40,2,general_drop
2026-04-03,claude,60,101,38,24,1,general_drop
2026-04-03,gemini,35,56,17,25,1,general_drop
2026-04-03,grok,28,41,8,15,1,general_drop
2026-04-04,chatgpt,30,77,12,30,3,general_drop
2026-04-04,claude,54,78,25,25,3,general_drop
2026-04-04,gemini,50,26,9,6,1,hallucinations
2026-04-04,grok,32,18,5,10,0,general_drop
2026-04-05,chatgpt,38,66,22,28,3,general_drop
2026-04-05,claude,51,72,29,32,1,general_drop
2026-04-05,gemini,51,34,13,11,1,hallucinations
2026-04-05,grok,28,26,4,11,3,general_drop
2026-04-06,chatgpt,50,73,27,19,1,hallucinations
2026-04-06,claude,50,79,25,26,0,coding_quality
2026-04-06,gemini,34,24,5,12,1,hallucinations
2026-04-06,grok,32,19,3,10,0,general_drop
2026-04-07,chatgpt,51,99,37,33,1,hallucinations
2026-04-07,claude,43,52,16,22,0,general_drop
2026-04-07,gemini,29,37,7,23,0,general_drop
2026-04-07,grok,40,21,9,9,1,multimodal_quality
2026-04-08,chatgpt,59,125,62,38,4,general_drop
2026-04-08,claude,44,77,28,37,0,general_drop
2026-04-08,gemini,33,27,8,14,3,censorship
2026-04-08,grok,30,13,3,8,0,hallucinations
2026-04-09,chatgpt,44,82,23,32,1,general_drop
2026-04-09,claude,38,86,22,37,4,pricing_value
2026-04-09,gemini,34,26,8,10,0,general_drop
2026-04-09,grok,46,19,9,7,0,general_drop
2026-04-10,chatgpt,43,67,23,33,2,general_drop
2026-04-10,claude,40,69,18,30,3,general_drop
2026-04-10,gemini,36,31,10,13,2,general_drop
2026-04-10,grok,34,24,4,9,0,hallucinations
2026-04-11,chatgpt,45,56,22,21,1,lazy_responses
2026-04-11,claude,35,45,12,21,1,coding_quality
2026-04-11,gemini,31,16,2,11,0,hallucinations
2026-04-11,grok,32,16,5,11,0,general_drop
2026-04-12,chatgpt,49,60,26,21,1,lazy_responses
2026-04-12,claude,33,44,14,23,1,general_drop
2026-04-12,gemini,63,18,9,2,3,general_drop
2026-04-12,grok,33,22,7,10,1,censorship
2026-04-13,chatgpt,43,62,20,35,1,general_drop
2026-04-13,claude,34,49,16,22,0,api_reliability
2026-04-13,gemini,29,13,2,9,0,general_drop
2026-04-13,grok,30,5,1,3,0,hallucinations
2026-04-14,chatgpt,57,30,14,8,1,general_drop
2026-04-14,claude,26,14,3,10,0,lazy_responses
2026-04-14,gemini,30,6,2,4,0,hallucinations
2026-04-14,grok,17,11,1,8,0,hallucinations
2026-04-15,chatgpt,51,41,13,12,1,lazy_responses
2026-04-15,claude,39,24,9,8,1,api_reliability
2026-04-15,gemini,38,12,4,5,1,multimodal_quality
2026-04-15,grok,10,16,2,12,0,censorship
2026-04-16,chatgpt,45,67,26,27,1,general_drop
2026-04-16,claude,44,68,28,20,4,coding_quality
2026-04-16,gemini,46,20,8,5,0,general_drop
2026-04-16,grok,25,15,3,7,2,general_drop
2026-04-17,chatgpt,42,40,14,21,3,general_drop
2026-04-17,claude,55,53,28,16,3,coding_quality
2026-04-17,gemini,26,17,3,10,0,hallucinations
2026-04-17,grok,48,14,8,5,0,multimodal_quality
2026-04-18,chatgpt,39,83,29,39,11,general_drop
2026-04-18,claude,49,81,33,28,13,general_drop
2026-04-18,gemini,25,34,7,18,6,hallucinations
2026-04-18,grok,40,22,7,11,4,general_drop
2026-04-19,chatgpt,46,76,32,31,13,hallucinations
2026-04-19,claude,50,49,21,20,7,general_drop
2026-04-19,gemini,33,25,8,14,3,censorship
2026-04-19,grok,27,7,2,5,0,censorship
2026-04-20,chatgpt,39,58,20,30,8,hallucinations
2026-04-20,claude,39,57,18,28,11,api_reliability
2026-04-20,gemini,26,15,3,8,4,general_drop
2026-04-20,grok,37,8,3,2,3,hallucinations
2026-04-21,chatgpt,32,33,4,10,2,lazy_responses
2026-04-21,claude,43,16,5,6,3,lazy_responses
2026-04-21,gemini,23,14,0,1,2,general_drop
2026-04-21,grok,43,9,1,0,4,
